constituent,speed_deg_per_h,amplitude_m,phase_deg_rel2020
K1,15.0410686,0.652382187770374,160.61471249319024
M2,28.9841042,0.5630468290666807,280.93284820141366
O1,13.9430356,0.4161796590954264,262.1745421309854
S2,30.0,0.2716330541154702,221.02223661188742
P1,14.9589314,0.18144314582519427,183.59719388828685
K2,30.0821373,0.10807688673312779,352.2356290951704
N2,28.4397295,0.08826824926110281,62.82202049279221
Q1,13.3986609,0.07456804497766616,50.07541277464421
NO1,14.4966939,0.03650482574236713,333.0900187486667
L2,29.5284789,0.030888904898159812,306.7957151677232
S1,15.0,0.03058012365476891,263.8474492326128
OO1,16.1391017,0.029315975851843406,232.6527265581613
J1,15.5854433,0.02919284159323192,58.439578496133656
M4,57.9682084,0.029127466172822372,98.65762150892562
MS4,58.9841042,0.02794672112802875,36.289536305879665
MK3,44.0251729,0.02767191878838261,12.553303097529255
MO3,42.9271398,0.022907712252427916,151.87384550190478
MU2,27.9682084,0.022200412349573567,103.06753489806647
LAM2,29.4556253,0.021724267739817123,145.79991157213612
2SM2,31.0158958,0.017432037416509363,318.9650225568973
SK3,45.0410686,0.016606772475062346,328.72512418986634
NU2,28.5125831,0.016600040512800052,203.84402293618325
T2,29.9589333,0.015637368229349448,154.65175050157723
RHO1,13.4715145,0.01453923036807382,201.9514661133457
2N2,27.8953548,0.012797594562346559,195.31054773462563
MN4,57.4238337,0.010427586929709461,246.70620378572215
2MS6,87.9682084,0.00926740005946245,187.27356788152937
2Q1,12.8542862,0.007972550786930651,196.79503531365617
M6,86.9523127,0.007971629703852536,264.9094513887509
S4,60.0,0.006525344358708119,354.61218328416066
MK4,59.0662415,0.003091804818121883,190.5575478507558
M3,43.4761563,0.001084237012357153,113.28267426149459
M8,115.9364166,0.001010961372703644,346.46415109251075
